cost_id,cost_type,category,product_id,region,customer_tier,value,currency,unit,notes
COST001,PRODUCT_UNIT_COST,Vaccine,P1,ALL,ALL,145.50,USD,PER_UNIT,Average manufacturing cost per vaccine dose
COST002,PRODUCT_UNIT_COST,API,P2,ALL,ALL,892.00,USD,PER_KG,Active Pharmaceutical Ingredient cost
COST003,PRODUCT_UNIT_COST,Diagnostic,P3,ALL,ALL,67.25,USD,PER_KIT,Diagnostic test kit cost
COST004,PRODUCT_UNIT_COST,Biologic,P4,ALL,ALL,1850.00,USD,PER_VIAL,High-value biologic cost
COST005,PRODUCT_UNIT_COST,Generic,P5,ALL,ALL,12.80,USD,PER_UNIT,Generic drug cost
COST006,SLA_PENALTY,TIER1,ALL,APAC,TIER1,500.00,USD,PER_DAY,Daily penalty for TIER1 SLA breach
COST007,SLA_PENALTY,TIER1,ALL,North America,TIER1,750.00,USD,PER_DAY,Daily penalty for TIER1 SLA breach
COST008,SLA_PENALTY,TIER1,ALL,Europe,TIER1,650.00,USD,PER_DAY,Daily penalty for TIER1 SLA breach
COST009,SLA_PENALTY,TIER1,ALL,Latin America,TIER1,400.00,USD,PER_DAY,Daily penalty for TIER1 SLA breach
COST010,SLA_PENALTY,TIER1,ALL,Africa,TIER1,350.00,USD,PER_DAY,Daily penalty for TIER1 SLA breach
COST011,SLA_PENALTY,TIER2,ALL,APAC,TIER2,250.00,USD,PER_DAY,Daily penalty for TIER2 SLA breach
COST012,SLA_PENALTY,TIER2,ALL,North America,TIER2,350.00,USD,PER_DAY,Daily penalty for TIER2 SLA breach
COST013,SLA_PENALTY,TIER2,ALL,Europe,TIER2,300.00,USD,PER_DAY,Daily penalty for TIER2 SLA breach
COST014,SLA_PENALTY,TIER2,ALL,Latin America,TIER2,200.00,USD,PER_DAY,Daily penalty for TIER2 SLA breach
COST015,SLA_PENALTY,TIER2,ALL,Africa,TIER2,175.00,USD,PER_DAY,Daily penalty for TIER2 SLA breach
COST016,SLA_PENALTY,TIER3,ALL,APAC,TIER3,100.00,USD,PER_DAY,Daily penalty for TIER3 SLA breach
COST017,SLA_PENALTY,TIER3,ALL,North America,TIER3,150.00,USD,PER_DAY,Daily penalty for TIER3 SLA breach
COST018,SLA_PENALTY,TIER3,ALL,Europe,TIER3,125.00,USD,PER_DAY,Daily penalty for TIER3 SLA breach
COST019,SLA_PENALTY,TIER3,ALL,Latin America,TIER3,75.00,USD,PER_DAY,Daily penalty for TIER3 SLA breach
COST020,SLA_PENALTY,TIER3,ALL,Africa,TIER3,60.00,USD,PER_DAY,Daily penalty for TIER3 SLA breach
COST021,EXPEDITE_SHIPPING,AIR,ALL,APAC,ALL,2500.00,USD,PER_SHIPMENT,Air freight expedite cost - APAC
COST022,EXPEDITE_SHIPPING,AIR,ALL,North America,ALL,3200.00,USD,PER_SHIPMENT,Air freight expedite cost - North America
COST023,EXPEDITE_SHIPPING,AIR,ALL,Europe,ALL,2800.00,USD,PER_SHIPMENT,Air freight expedite cost - Europe
COST024,EXPEDITE_SHIPPING,AIR,ALL,Latin America,ALL,3500.00,USD,PER_SHIPMENT,Air freight expedite cost - Latin America
COST025,EXPEDITE_SHIPPING,AIR,ALL,Africa,ALL,3800.00,USD,PER_SHIPMENT,Air freight expedite cost - Africa
COST026,EXPEDITE_SHIPPING,EXPRESS,ALL,APAC,ALL,5000.00,USD,PER_SHIPMENT,Express delivery - APAC
COST027,EXPEDITE_SHIPPING,EXPRESS,ALL,North America,ALL,6500.00,USD,PER_SHIPMENT,Express delivery - North America
COST028,EXPEDITE_SHIPPING,EXPRESS,ALL,Europe,ALL,5800.00,USD,PER_SHIPMENT,Express delivery - Europe
COST029,EXPEDITE_SHIPPING,EXPRESS,ALL,Latin America,ALL,7200.00,USD,PER_SHIPMENT,Express delivery - Latin America
COST030,EXPEDITE_SHIPPING,EXPRESS,ALL,Africa,ALL,8000.00,USD,PER_SHIPMENT,Express delivery - Africa
COST031,INVENTORY_HOLDING,COLD_CHAIN,P1,ALL,ALL,15.50,USD,PER_UNIT_PER_MONTH,Refrigerated storage for vaccines
COST032,INVENTORY_HOLDING,COLD_CHAIN,P4,ALL,ALL,45.00,USD,PER_UNIT_PER_MONTH,Ultra-cold storage for biologics
COST033,INVENTORY_HOLDING,AMBIENT,P2,ALL,ALL,3.20,USD,PER_KG_PER_MONTH,Ambient warehouse storage
COST034,INVENTORY_HOLDING,AMBIENT,P3,ALL,ALL,2.80,USD,PER_UNIT_PER_MONTH,Ambient warehouse storage
COST035,INVENTORY_HOLDING,AMBIENT,P5,ALL,ALL,1.50,USD,PER_UNIT_PER_MONTH,Generic drug storage
COST036,QUALITY_HOLD,INVESTIGATION,ALL,ALL,ALL,5000.00,USD,PER_EVENT,Quality investigation cost
COST037,QUALITY_HOLD,TESTING,ALL,ALL,ALL,2500.00,USD,PER_BATCH,Additional testing for held lots
COST038,QUALITY_HOLD,STORAGE,ALL,ALL,ALL,500.00,USD,PER_DAY,Quarantine storage daily cost
COST039,QUALITY_HOLD,DISPOSITION,ALL,ALL,ALL,1500.00,USD,PER_DECISION,Disposition decision process cost
COST040,RECALL,NOTIFICATION,ALL,ALL,TIER1,10000.00,USD,PER_EVENT,Customer notification for TIER1
COST041,RECALL,NOTIFICATION,ALL,ALL,TIER2,5000.00,USD,PER_EVENT,Customer notification for TIER2
COST042,RECALL,NOTIFICATION,ALL,ALL,TIER3,2500.00,USD,PER_EVENT,Customer notification for TIER3
COST043,RECALL,RETRIEVAL,ALL,ALL,ALL,150.00,USD,PER_UNIT,Product retrieval and return shipping
COST044,RECALL,DESTRUCTION,ALL,ALL,ALL,75.00,USD,PER_UNIT,Proper disposal of recalled product
COST045,RECALL,REPLACEMENT,Vaccine,P1,ALL,145.50,USD,PER_UNIT,Replacement product cost - vaccine
COST046,RECALL,REPLACEMENT,API,P2,ALL,892.00,USD,PER_KG,Replacement product cost - API
COST047,RECALL,REPLACEMENT,Diagnostic,P3,ALL,67.25,USD,PER_KIT,Replacement product cost - diagnostic
COST048,RECALL,REPLACEMENT,Biologic,P4,ALL,1850.00,USD,PER_VIAL,Replacement product cost - biologic
COST049,RECALL,REPLACEMENT,Generic,P5,ALL,12.80,USD,PER_UNIT,Replacement product cost - generic
COST050,REGULATORY_HOLD,DOCUMENTATION,ALL,Europe,ALL,3000.00,USD,PER_SHIPMENT,EU GDP documentation cost
COST051,REGULATORY_HOLD,DOCUMENTATION,ALL,North America,ALL,2500.00,USD,PER_SHIPMENT,FDA documentation cost
COST052,REGULATORY_HOLD,DOCUMENTATION,ALL,APAC,ALL,2000.00,USD,PER_SHIPMENT,APAC regulatory documentation
COST053,REGULATORY_HOLD,STORAGE,ALL,ALL,ALL,300.00,USD,PER_DAY,Storage during regulatory hold
COST054,REGULATORY_HOLD,DEMURRAGE,ALL,ALL,ALL,1000.00,USD,PER_DAY,Port/airport storage fees
COST055,SUPPLIER_OUTAGE,ALTERNATE_SOURCING,ALL,ALL,ALL,15000.00,USD,PER_EVENT,Cost to activate alternate supplier
COST056,SUPPLIER_OUTAGE,PREMIUM_PRICING,ALL,ALL,ALL,25.00,USD,PERCENT,Premium % on alternate source pricing
COST057,SUPPLIER_OUTAGE,QUALIFICATION,ALL,ALL,ALL,50000.00,USD,PER_SUPPLIER,New supplier qualification cost
COST058,REVENUE_LOSS,STOCKOUT,Vaccine,P1,ALL,500.00,USD,PER_UNIT,Lost revenue - vaccine stockout
COST059,REVENUE_LOSS,STOCKOUT,API,P2,ALL,1200.00,USD,PER_KG,Lost revenue - API stockout
COST060,REVENUE_LOSS,STOCKOUT,Diagnostic,P3,ALL,95.00,USD,PER_KIT,Lost revenue - diagnostic stockout
COST061,REVENUE_LOSS,STOCKOUT,Biologic,P4,ALL,2800.00,USD,PER_VIAL,Lost revenue - biologic stockout
COST062,REVENUE_LOSS,STOCKOUT,Generic,P5,ALL,18.50,USD,PER_UNIT,Lost revenue - generic stockout
